"name","firstReleaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"PANICORE","1717128000000","514887","4.99","2227961","4.05912799569773","79","Indie","ZTEK Studio","ZTEK Studio","2695940"
"Atelier Resleriana: Forgotten Alchemy and the Polar Night Liberator","1706072400000","138100","0","2227227","37.62427161578944","53","Indie","KOEI TECMO GAMES","KOEI TECMO GAMES,Akatsuki Games Inc.","2594920"
"UNDER NIGHT IN-BIRTH II Sys:Celes","1706072400000","56960","49.99","2223949","34.58199118580126","82","AA","Arc System Works","FRENCH-BREAD,Arc System Works","2076010"
"Sword of Convallaria","1722384000000","249563","0","2222126","26.310579676752816","73","Indie","XD","XD","2526380"
"BUNNY GARDEN","1713412800000","104290","24.99","2207051","5.813775565179293","94","Indie","qureate","qureate","2654470"
"Knowledge, or know Lady","1711598400000","459424","6.99","2179777","5.872773497618861","0","Indie","蒸汽满满工作室","蒸汽满满工作室","2786680"
"Jujutsu Kaisen Cursed Clash","1706763600000","42013","59.99","2171593","12.395766866517446","55","AA","Bandai Namco Entertainment Inc.","Byking Inc.","1877020"
"LOCKDOWN Protocol","1721606400000","236771","9.99","2125236","9.871936229693839","96","Indie","Mirage Creative Lab","Mirage Creative Lab","2780980"
"Terminator: Dark Fate - Defiance","1708491600000","60277","39.99","2101319","26.850109589133616","80","AA","Slitherine Ltd.","Slitherine Ltd.","1839950"
"The Crew Motorfest","1713412800000","68252","69.99","2040270","18.970975964176017","60","AAA","Ubisoft","Ubisoft Ivory Tower","2698940"
"The Lord of the Rings: Return to Moria™","1724716800000","110724","24.99","2040126","12.81782868254092","80","Indie","North Beach Games","Free Range Games","2933130"
"Taxi Life: A City Driving Simulator","1709787600000","79055","29.99","2032004","8.317741521569873","56","AA","Nacon","Simteract","1351240"
"Alone in the Dark","1710907200000","46980","59.99","1959703","7.285083268350837","78","AA","THQ Nordic","Pieces Interactive","1310410"
"Goat Simulator 3","1707973200000","134753","29.99","1952841","19.277795086735143","0","AA","Coffee Stain Publishing","Coffee Stain North","850190"
"Lightyear Frontier","1710820800000","97432","24.99","1919581","8.325642189227452","87","Indie","Amplifier Studios,FRAME BREAK","FRAME BREAK,Amplifier Studios","1677110"
"Crime Boss: Rockay City","1718683200000","126275","19.99","1892549","19.50100927311637","73","AA","505 Games","INGAME STUDIOS","2933080"
"Chinese Online Game","1721260800000","221050","9.99","1886024","7.327817789767484","0","Indie","Wise Games","648工作室","1416920"
"Living With Sister: Monochrome Fantasy","1711080000000","232854","12.99","1860077","10.726590041681956","97","Indie","Kagura Games","Inusuku","2429860"
"The Thaumaturge","1709528400000","74971","34.99","1854849","10.883739058866071","82","AA","11 bit studios","Fool's Theory","1684350"
"Astral Party ","1709096400000","519788","0","1808723","18.94529624209154","0","Indie","Neverland Entertainment","STAR ENGINE PROJECT","2622000"
"Dungeonborne","1721260800000","1097975","0","1780512","26.78091918732972","65","Indie","Mithril Interactive","Mithril Interactive","2448970"
"MARVEL vs. CAPCOM Fighting Collection: Arcade Classics","1726012800000","39396","49.99","1772465","3.398461477472217","93","AAA","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","2634890"
"Feed the Cups","1708405200000","161745","15.99","1763268","36.36118298812542","89","Indie","IndieArk","Vambear Games","2336220"
"Test Drive Unlimited Solar Crown","1726099200000","39045","49.99","1756673","5.278446800368178","44","AA","Nacon","KT Racing","1249970"
"Superscout","1721260800000","120239","17.99","1755598","5.581427533871499","0","Indie","Mountain&Sea Studio","Mountain&Sea Studio","2862610"
"SAND LAND","1714017600000","35989","59.99","1752542","16.01982064642475","0","AA","Bandai Namco Entertainment Inc.","ILCA, Inc.","1979440"
"Star Trucker","1725321600000","84230","24.99","1704899","7.182736660524609","75","AA","Raw Fury","Monster and Monster","2380050"
"BMX Streets","1712203200000","47205","39.99","1695391","22.73875356853668","78","Indie","Mash Games","Mash Games","871540"
"ContractVille","1717128000000","95453","19.99","1671018","17.435378417595892","79","Indie","FiftyEight Studios","MYM Games Studios","2698780"
"Cataclismo","1721606400000","74373","29.99","1669469","13.247960400231843","0","AA","Hooded Horse","Digital Sun","1422440"
"Tactical Breach Wizards","1724284800000","97378","19.99","1626681","9.840787316383249","98","Indie","Suspicious Developments","Suspicious Developments Inc","1043810"
"Rusty's Retirement","1714104000000","284752","6.99","1623592","36.02409442452288","0","Indie","Mister Morris Games","Mister Morris Games","2666510"
"ENDER MAGNOLIA: Bloom in the Mist","1711339200000","96627","19.99","1612381","2.2372650567071997","98","Indie","Binary Haze Interactive","Adglobe,Live Wire","2725260"
"Out of the Park Baseball 25","1710475200000","44650","49.99","1610706","88.41649528004233","0","Indie","Out of the Park Developments","Out of the Park Developments","2384620"
"Town of Sins","1711339200000","74639","0","1599837","18.593291598159663","58","Indie","Nutaku Publishing","Hooligapps","2449710"
"KINGDOM HEARTS III + Re Mind (DLC)","1718251200000","39229","59.99","1571502","20.25141863181242","93","AA","Square Enix","Square Enix","2552450"
"Harry Potter: Quidditch Champions","1725321600000","57856","29.99","1561591","6.355343493379774","80","AAA","Warner Bros. Games","Unbroken Studios","2878600"
"Proud To Love","1710129600000","184801","9.99","1551067","3.2759916360190258","85","Indie","Master Entertainment,LGD Gaming","Master Entertainment","2744150"
"Thank Goodness You're Here!","1722470400000","93585","19.99","1545420","2.18421085744043","97","Indie","Panic","Coal Supper","2366980"
"Avatar: Frontiers of Pandora™","1718596800000","38645","69.99","1543549","21.785060648945887","64","AAA","Ubisoft","Massive Entertainment – A Ubisoft Studio","2840770"
"INDIKA","1714622400000","74293","24.99","1506442","3.154235571686359","90","AA","11 bit studios","Odd Meter","1373960"
