"name","firstReleaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"Black Myth: Wukong","1724025600000","16578189","59.99","895073002","22.788907440073935","96","AAA","Game Science","Game Science","2358720"
"HELLDIVERS™ 2","1707368400000","11863601","39.99","433896651","39.888925267486755","71","AAA","PlayStation Publishing LLC","Arrowhead Game Studios","553850"
"Palworld","1705554000000","16737546","29.99","393111991","42.774149460608015","94","AA","Pocketpair","Pocketpair","1623730"
"Dragon's Dogma 2","1710993600000","1787436","69.99","111629263","31.797288330073748","60","AAA","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","2054970"
"The First Descendant","1719720000000","4023866","0","103387695","52.481844470564546","55","AA","NEXON","NEXON Games Co., Ltd.","2074920"
"Warhammer 40,000: Space Marine 2","1725840000000","1672164","59.99","90281806","9.89762723714605","80","AA","Focus Entertainment","Saber Interactive","2183900"
"Manor Lords","1714104000000","2310938","39.99","63613981","16.34598700438178","88","AA","Hooded Horse","Slavic Magic","1363080"
"Enshrouded","1706072400000","2305880","29.99","56731156","36.38045258186757","0","AA","Keen Games GmbH","Keen Games GmbH","1203620"
"Ghost of Tsushima DIRECTOR'S CUT","1715832000000","955351","59.99","50851031","26.74302493402441","92","AAA","PlayStation Publishing LLC","Sucker Punch Productions,Nixxes Software","2215430"
"Granblue Fantasy: Relink","1706677200000","1035015","59.99","47981721","55.76740042529199","90","AA","Cygames, Inc.","Cygames, Inc.","881020"
"TEKKEN 8","1706158800000","735601","69.99","45345544","61.80713829944561","71","AAA","Bandai Namco Entertainment","Bandai Namco Studios Inc.","1778820"
"Hades II","1714968000000","1645560","29.99","44415309","21.89796922810711","95","AA","Supergiant Games","Supergiant Games","1145350"
"Once Human","1720483200000","5830116","0","39477398","44.59561634834803","72","Indie","Starry Studio","Starry Studio","2139460"
"Persona 3 Reload","1706763600000","629125","69.99","35677807","36.44771197435117","94","AA","SEGA","ATLUS","2161700"
"Gray Zone Warfare","1714449600000","1041454","34.99","34318182","31.598999429666186","67","Indie","MADFINGER Games, a.s.","MADFINGER Games, a.s.","2479810"
"Supermarket Simulator","1708405200000","2540002","12.99","26309823","18.76266474824138","94","Indie","Nokta Games","Nokta Games","2670630"
"Horizon Forbidden West™ Complete Edition","1710993600000","443004","59.99","23977163","44.517256077794144","91","AAA","PlayStation Publishing LLC","Guerrilla,Nixxes Software","2420110"
"Like a Dragon: Infinite Wealth","1706158800000","366491","69.99","21103910","39.75661696360737","91","AA","SEGA","Ryu Ga Gotoku Studio","2072450"
"Balatro","1708405200000","1630349","14.99","20838568","32.5462221452093","97","Indie","Playstack","LocalThunk","2379780"
"NBA 2K25","1725321600000","300312","69.99","18916953","15.051326544682004","53","AAA","2K","Visual Concepts","2878980"
"Bodycam","1717732800000","630933","33.32","17709166","8.275206038411111","74","Indie","Reissad Studio","Reissad Studio","2406770"
"No Rest for the Wicked","1713412800000","572071","39.99","17639059","18.90433547618064","78","AA","Private Division","Moon Studios GmbH","1371980"
"Chained Together","1718769600000","4029601","4.99","17405789","4.195132454479777","89","Indie","Anegar Games","Anegar Games","2567870"
"Dead Island 2","1713758400000","368530","59.99","11210759","13.463304314009596","73","AA","Deep Silver","Dambuster Studios","934700"
"Summoners War","1704603600000","570560","0","11075009","126.52354854493767","72","Indie","Com2uS","Com2uS","2426960"
"F1® 24","1717128000000","187640","69.99","10954209","27.411334019518296","63","AAA","Electronic Arts","Codemasters","2488620"
"Nightingale","1708405200000","424167","29.99","10748866","27.38239964772199","64","Indie","Inflexion Games","Inflexion Games","1928980"
"Abiotic Factor","1714622400000","528093","24.99","10665453","18.687840832982744","96","Indie","Playstack","Deep Field Games","427410"
"Pacific Drive","1708491600000","437344","29.99","10384245","17.157399830403623","84","Indie","Kepler Interactive","Ironwood Studios","1458140"
"Lust Goddess","1708491600000","404720","0","10068525","38.97611205290788","0","Indie","BRAWEA LTD","BRAWEA LTD","2808930"
"Deep Rock Galactic: Survivor","1707886800000","1293447","9.99","9924999","23.688555786280517","86","Indie","Ghost Ship Publishing","Funday Games","2321470"
"Suicide Squad: Kill the Justice League","1706850000000","184948","69.99","9732526","14.468747158282923","72","AAA","Warner Bros. Games","Rocksteady Studios","315210"
"Content Warning","1711944000000","1478386","7.99","9621381","8.889520490596057","95","AA","Landfall","thePetHen,Skog,Zorro,Wilnyl,Philip","2881650"
"Age of Mythology: Retold","1725408000000","352805","29.99","9522559","10.246522040327433","90","AAA","Xbox Game Studios","World's Edge,Forgotten Empires,Tantalus Media,CaptureAge,Virtuos Games","1934680"
"Dark and Darker","1717732800000","2749881","0","9081801","31.96298030017387","74","Indie","IRONMACE","IRONMACE","2016590"
"GUNDAM BREAKER 4","1724803200000","148053","59.99","7993529","21.110249842870527","81","AA","Bandai Namco Entertainment Inc.","CRAFTS ＆ MEISTER Co., Ltd","1672500"
"WWE 2K24","1709787600000","163620","99.99","7968900","44.49415664876046","71","AAA","2K","Visual Concepts","2315690"
"EARTH DEFENSE FORCE 6","1721865600000","160889","59.99","7945451","31.20138063439489","57","Indie","D3PUBLISHER","SANDLOT","2291060"
"Infection Free Zone","1712808000000","409678","24.99","7919152","17.624080510474172","73","Indie","Games Operators","Jutsu Games","1465460"
"Legend of Mortal","1718337600000","448672","19.99","7894936","24.28419198355398","76","Indie","Paras Games,Obb Studio Inc.","Obb Studio Inc.","1859910"
"Bellwright","1713844800000","292609","29.99","7796268","39.541819938072635","78","Indie","Donkey Crew,Snail Games USA","Donkey Crew","1812450"
"Shin Megami Tensei V: Vengeance","1718251200000","141528","59.99","7641238","35.33674844494675","96","AA","SEGA","ATLUS","1875830"
"Soulmask","1717041600000","306216","29.99","7582591","96.8988082353282","79","Indie","Qooland Games","CampFire Studio","2646460"
"KINGDOM HEARTS -HD 1.5+2.5 ReMIX-","1718251200000","231551","49.99","7463659","31.266417970555686","76","AA","Square Enix","Square Enix","2552430"
"Sins of a Solar Empire II","1723680000000","190275","49.99","6981396","15.798453185115502","88","Indie","Stardock Entertainment","Ironclad Games Corporation,Stardock Entertainment","1575940"
"ANIMAL WELL","1715227200000","308424","24.99","6477426","8.491003486496194","96","Indie","Bigmode","Billy Basso","813230"
"STAR WARS™: Battlefront Classic Collection","1710302400000","185188","35.01","6052810","4.433061719974394","21","Indie","Aspyr","Aspyr","2446550"
"Another Crab's Treasure","1714017600000","272290","29.99","5877847","10.164359249144672","95","Indie","Aggro Crab","Aggro Crab","1887840"
"Nine Sols","1716868800000","227660","29.99","5808283","17.76313933243779","0","Indie","RedCandleGames","RedCandleGames","1809540"
"Winter Memories","1704430800000","431313","19.99","5572630","8.868400556216544","97","Indie","Kagura Games","Dojin Otome","2495450"
