"x","y"
"1708041600000","0"
"1710494640657","0"
"1710581040657","34.99"
"1711095765908","34.99"
"1711182165908","49.99"
"1714551976372","49.99"
"1714638376372","34.99"
"1715154495455","34.99"
"1715240895455","49.99"
"1719470715403","49.99"
"1719557115403","24.99"
"1720670380557","24.99"
"1720756780557","49.99"
"1720756511227","49.99"
"1720842911227","24.99"
"1721621139602","24.99"
"1721707539602","49.99"
"1724907167669","49.99"
"1724993567669","24.99"
"1725854903584","24.99"
"1725941303584","49.99"
"1726358400000","49.99"
