"x","y"
"1704067200000","0"
"1713785497405","0"
"1713871897405","7.99"
"1714994779425","7.99"
"1715081179425","9.99"
"1718010624505","9.99"
"1718097024505","7.99"
"1718617275189","7.99"
"1718703675189","9.99"
"1719475398096","9.99"
"1719561798096","7.99"
"1720675499900","7.99"
"1720761899900","9.99"
"1721626639318","9.99"
"1721713039318","7.99"
"1722230756083","7.99"
"1722317156083","9.99"
"1725258825932","9.99"
"1725345225932","7.99"
"1725860416993","7.99"
"1725946816993","9.99"
"1726358400000","9.99"
