"x","y"
"1704067200000","0"
"1704461182439","0"
"1704547582439","15.99"
"1705065992391","15.99"
"1705152392391","19.99"
"1707743237944","19.99"
"1707829637944","15.99"
"1708349515780","15.99"
"1708435915780","19.99"
"1710419576527","19.99"
"1710505976527","15.99"
"1711106114652","15.99"
"1711192514652","19.99"
"1711451366703","19.99"
"1711537766703","15.99"
"1711975364267","15.99"
"1712061764267","19.99"
"1714561660297","19.99"
"1714648060297","15.99"
"1715162009109","15.99"
"1715248409109","19.99"
"1718224298825","19.99"
"1718310698825","15.99"
"1718798699524","15.99"
"1718885099524","19.99"
"1719477260656","19.99"
"1719563660656","15.99"
"1720678948471","15.99"
"1720765348471","19.99"
"1721373575477","19.99"
"1721459975477","15.99"
"1721972365516","15.99"
"1722058765516","19.99"
"1724567567100","19.99"
"1724653967100","15.99"
"1725175313809","15.99"
"1725261713809","19.99"
"1726358400000","19.99"
